,code,feature
0,A000000147339,복합성 웜톤 트러블 모공 민감성 잡티 블랙헤드 
1,A000000137180,복합성 웜톤 트러블 모공 블랙헤드 잡티 민감성 
2,A000000141704,복합성 웜톤 트러블 모공 잡티 블랙헤드 민감성 
3,A000000104007,복합성 웜톤 모공 트러블 잡티 민감성 블랙헤드 
4,A000000146589,복합성 웜톤 트러블 모공 민감성 잡티 블랙헤드 
5,A000000016686,복합성 웜톤 모공 잡티 트러블 민감성 블랙헤드 
6,A000000161508,복합성 웜톤 모공 트러블 블랙헤드 잡티 각질 
7,A000000145578,복합성 웜톤 모공 트러블 잡티 민감성 블랙헤드 
8,A000000126862,복합성 쿨톤 트러블 모공 블랙헤드 민감성 잡티 
9,A000000156512,복합성 웜톤 잡티 트러블 모공 블랙헤드 민감성 
10,A000000150946,복합성 웜톤 트러블 모공 잡티 민감성 블랙헤드 
11,A000000148899,복합성 쿨톤 민감성 트러블 모공 잡티 주름 
12,A000000129008,복합성 웜톤 민감성 모공 트러블 블랙헤드 잡티 
13,A000000147524,복합성 웜톤 트러블 모공 블랙헤드 잡티 민감성 
14,A000000154177,복합성 웜톤 트러블 모공 블랙헤드 각질 잡티 
15,A000000157294,복합성 웜톤 모공 잡티 블랙헤드 민감성 주름 
16,A000000143827,복합성 웜톤 모공 트러블 잡티 각질 민감성 
17,A000000117541,복합성 쿨톤 모공 잡티 트러블 민감성 블랙헤드 
18,A000000012809,복합성 웜톤 민감성 잡티 트러블 모공 홍조 
19,A000000147387,복합성 웜톤 트러블 모공 민감성 잡티 블랙헤드 
20,A000000010474,복합성 웜톤 모공 민감성 트러블 블랙헤드 잡티 
21,A000000147313,복합성 웜톤 블랙헤드 모공 잡티 트러블 미백 
22,A000000106421,복합성 웜톤 모공 블랙헤드 잡티 트러블 민감성 
23,A000000153418,복합성 웜톤 민감성 모공 트러블 각질 블랙헤드 
24,A000000132162,복합성 웜톤 모공 트러블 민감성 블랙헤드 잡티 
25,A000000147984,복합성 웜톤 트러블 모공 잡티 탄력 민감성 
26,A000000154375,건성 쿨톤 잡티 주름 블랙헤드 트러블 피지과다 
27,A000000159921,복합성 웜톤 잡티 모공 트러블 민감성 탄력 
28,A000000164211,복합성 쿨톤 트러블 블랙헤드 모공 민감성 잡티 
29,A000000138573,복합성 웜톤 트러블 모공 잡티 민감성 블랙헤드 
